Timestamp,Temperature,Humidity,Pressure
2025-01-25 20:21:05,75.88 °F,17.20 %,982.96 hPa
2025-01-25 20:21:16,75.78 °F,17.20 %,982.94 hPa
2025-01-25 20:21:23,75.67 °F,17.22 %,982.91 hPa
2025-01-25 20:21:27,75.67 °F,17.21 %,982.95 hPa
2025-01-25 20:21:31,75.63 °F,17.24 %,982.98 hPa
2025-01-25 20:21:33,75.60 °F,17.25 %,982.96 hPa
2025-01-25 20:21:38,75.58 °F,17.28 %,982.97 hPa
2025-01-25 20:21:44,75.51 °F,17.30 %,982.95 hPa
2025-01-25 20:21:48,75.45 °F,17.31 %,982.98 hPa
2025-01-25 20:21:54,75.42 °F,17.34 %,982.96 hPa
2025-01-25 20:21:56,75.40 °F,17.36 %,982.93 hPa
2025-01-25 20:21:59,75.40 °F,17.39 %,982.91 hPa
2025-01-25 20:22:02,75.34 °F,17.37 %,982.90 hPa
2025-01-25 20:22:04,75.34 °F,17.41 %,982.91 hPa
2025-01-25 20:22:07,75.31 °F,17.38 %,982.88 hPa
2025-01-25 20:22:17,75.24 °F,17.42 %,982.93 hPa
2025-01-25 20:24:42,74.19 °F,18.05 %,982.98 hPa
2025-01-25 20:24:44,74.19 °F,18.07 %,982.96 hPa
2025-01-25 20:24:47,74.14 °F,18.07 %,982.96 hPa
2025-01-25 20:24:50,74.16 °F,18.08 %,982.96 hPa
2025-01-25 20:24:56,74.10 °F,18.12 %,982.95 hPa
2025-01-25 20:25:02,74.05 °F,18.16 %,982.95 hPa
2025-01-25 20:25:06,74.05 °F,18.16 %,982.97 hPa
2025-01-25 20:25:08,74.03 °F,18.17 %,982.95 hPa
2025-01-25 20:25:11,73.99 °F,18.16 %,982.93 hPa
2025-01-25 20:25:14,73.96 °F,18.15 %,982.94 hPa
2025-01-25 20:25:17,73.96 °F,18.19 %,982.96 hPa
2025-01-25 20:25:34,73.89 °F,18.29 %,982.94 hPa
2025-01-25 20:25:37,73.87 °F,18.29 %,982.94 hPa
2025-01-25 20:25:53,73.76 °F,18.32 %,982.99 hPa
2025-01-25 20:25:57,73.76 °F,18.34 %,982.93 hPa
2025-01-25 20:26:00,73.71 °F,18.36 %,982.92 hPa
2025-01-25 20:26:03,73.71 °F,18.38 %,982.95 hPa
2025-01-25 20:26:07,73.67 °F,18.36 %,982.93 hPa
2025-01-25 20:26:09,73.65 °F,18.38 %,982.92 hPa
2025-01-25 20:26:13,73.60 °F,18.42 %,982.90 hPa
2025-01-25 20:26:16,73.60 °F,18.44 %,982.89 hPa
2025-01-25 20:26:20,73.54 °F,18.44 %,982.89 hPa
2025-01-25 20:26:22,73.54 °F,18.46 %,982.91 hPa
2025-01-25 20:26:25,73.56 °F,18.47 %,982.90 hPa
2025-01-25 20:26:27,73.53 °F,18.47 %,982.90 hPa
2025-01-25 20:26:30,73.51 °F,18.47 %,982.91 hPa
2025-01-25 20:26:34,73.49 °F,18.49 %,982.88 hPa
2025-01-25 20:26:37,73.51 °F,18.52 %,982.92 hPa
2025-01-25 20:26:39,73.45 °F,18.53 %,982.88 hPa
2025-01-25 20:26:43,73.47 °F,18.54 %,982.93 hPa
2025-01-25 20:26:45,73.45 °F,18.54 %,982.93 hPa
2025-01-25 20:26:48,73.45 °F,18.56 %,982.94 hPa
2025-01-25 20:26:58,73.45 °F,18.57 %,982.90 hPa
2025-01-25 20:27:08,73.49 °F,18.57 %,982.90 hPa
2025-01-25 20:27:11,73.47 °F,18.57 %,982.89 hPa
2025-01-25 20:27:15,73.47 °F,18.58 %,982.92 hPa
2025-01-25 20:27:18,73.45 °F,18.58 %,982.94 hPa
2025-01-25 20:27:21,73.45 °F,18.59 %,982.94 hPa
2025-01-25 20:27:24,73.45 °F,18.59 %,982.91 hPa
2025-01-25 20:27:27,73.45 °F,18.62 %,982.92 hPa
2025-01-25 20:27:33,73.44 °F,18.59 %,982.92 hPa
2025-01-25 20:27:36,73.44 °F,18.60 %,982.93 hPa
2025-01-25 20:27:42,73.44 °F,18.60 %,982.91 hPa
2025-01-25 20:27:44,73.45 °F,18.62 %,982.91 hPa
2025-01-25 20:27:47,73.45 °F,18.62 %,982.85 hPa
2025-01-25 20:27:49,73.44 °F,18.62 %,982.91 hPa
2025-01-25 20:27:52,73.42 °F,18.60 %,982.90 hPa
2025-01-25 20:27:54,73.42 °F,18.60 %,982.91 hPa
2025-01-25 20:27:57,73.38 °F,18.59 %,982.88 hPa
2025-01-25 20:28:00,73.38 °F,18.59 %,982.90 hPa
2025-01-25 20:28:02,73.38 °F,18.59 %,982.92 hPa
2025-01-25 20:28:05,73.36 °F,18.60 %,982.88 hPa
2025-01-25 20:28:07,73.35 °F,18.59 %,982.91 hPa
2025-01-25 20:28:17,73.31 °F,18.61 %,982.95 hPa
2025-01-25 20:28:23,73.26 °F,18.66 %,982.89 hPa
2025-01-25 20:28:29,73.26 °F,18.66 %,982.93 hPa
2025-01-25 20:28:35,73.22 °F,18.68 %,982.89 hPa
2025-01-25 20:28:38,73.18 °F,18.68 %,982.89 hPa
2025-01-25 20:28:42,73.17 °F,18.70 %,982.91 hPa
2025-01-25 20:28:44,73.17 °F,18.72 %,982.88 hPa
2025-01-25 20:28:50,73.15 °F,18.73 %,982.90 hPa
2025-01-25 20:28:52,73.13 °F,18.72 %,982.89 hPa
2025-01-25 20:28:54,73.15 °F,18.73 %,982.90 hPa
2025-01-25 20:28:56,73.15 °F,18.75 %,982.89 hPa
2025-01-25 20:28:59,73.15 °F,18.77 %,982.87 hPa
2025-01-25 20:29:01,73.15 °F,18.77 %,982.88 hPa
2025-01-25 20:29:03,73.13 °F,18.75 %,982.88 hPa
2025-01-25 20:29:06,73.13 °F,18.79 %,982.86 hPa
2025-01-25 20:29:09,73.11 °F,18.75 %,982.87 hPa
2025-01-25 20:29:11,73.11 °F,18.75 %,982.88 hPa
2025-01-25 20:29:18,73.09 °F,18.75 %,982.86 hPa
2025-01-25 20:29:21,73.11 °F,18.78 %,982.87 hPa
2025-01-25 20:29:23,73.06 °F,18.78 %,982.86 hPa
2025-01-25 20:29:27,73.04 °F,18.80 %,982.87 hPa
2025-01-25 20:29:31,73.02 °F,18.82 %,982.87 hPa
2025-01-25 20:29:34,73.00 °F,18.83 %,982.85 hPa
2025-01-25 20:29:36,73.00 °F,18.83 %,982.86 hPa
2025-01-25 20:29:43,72.99 °F,18.86 %,982.86 hPa
2025-01-25 20:29:46,72.97 °F,18.87 %,982.84 hPa
2025-01-25 20:29:50,72.95 °F,18.88 %,982.86 hPa
2025-01-25 20:29:52,72.93 °F,18.88 %,982.86 hPa
2025-01-25 20:29:54,72.93 °F,18.90 %,982.84 hPa
2025-01-25 20:29:57,72.93 °F,18.93 %,982.83 hPa
2025-01-25 20:29:59,72.91 °F,18.91 %,982.85 hPa
2025-01-25 20:30:06,72.88 °F,18.91 %,982.84 hPa
2025-01-25 20:30:16,72.84 °F,18.92 %,982.84 hPa
2025-01-25 20:30:18,72.84 °F,18.93 %,982.87 hPa
2025-01-25 20:30:20,72.84 °F,18.93 %,982.85 hPa
2025-01-25 20:30:24,72.86 °F,18.96 %,982.84 hPa
2025-01-25 20:30:26,72.84 °F,18.93 %,982.81 hPa
2025-01-25 20:30:30,72.84 °F,18.94 %,982.85 hPa
2025-01-25 20:30:33,72.84 °F,18.94 %,982.84 hPa
2025-01-25 20:30:36,72.84 °F,18.96 %,982.87 hPa
2025-01-25 20:30:39,72.82 °F,18.96 %,982.83 hPa
2025-01-25 20:30:41,72.82 °F,18.96 %,982.84 hPa
2025-01-25 20:30:43,72.81 °F,18.97 %,982.84 hPa
